,pred,gt
33,FREITAG __LEFTHAND__ cl-KOMMEN REGEN IX STARK WIND,FREITAG DANN KOMMEN REGEN UEBERWIEGEND WIND
34,WIND SCHWACH MAESSIG WEHEN WEHEN-PLUSPLUS WEHEN,WIND SCHWACH MAESSIG IX WEHEN
35,IX SONNE ORT-PLUSPLUS MOEGLICH BISSCHEN SCHNEE ODER SCHNEE,MOEGLICH BISSCHEN ORT SONNE MOEGLICH MORGEN BISSCHEN REGEN ODER SCHNEE
36,WIND NORD __PU__ WEHEN AUCH DRUCK STARK WEHEN HEUTE NACHT,WIND NORD WEHEN WENIG UNTEN STARK WEHEN HEUTE NACHT
37,IN-KOMMEND TEIL FROST MITTE REGION NULL ZWISCHEN MINUS ZEHN BIS,IN-KOMMEND TAG BLEIBEN KALT MITTE EUROPA UNGEFAEHR NULL ZWISCHEN MITTE MEER ZEHN BIS FUENFZEHN
38,MORGEN IX ANFANG FREUNDLICH MORGEN IM-VERLAUF OST loc-SUEDWEST,MORGEN FRUEH ANFANG FREUNDLICH IM-VERLAUF OST SUED
39,SPAETER TIEF IX REGION,SPAETER REGEN UEBERALL REGION
40,SUED loc-REGION HOCH ZWISCHEN MOEGLICH SCHNEE MOEGLICH __PU__,SUED VIERHUNDERT SIEBENHUNDERT METER HOEHE MOEGLICH SCHNEE ENORM
41,AUCH STURM WEHEN IX REGION STURM IX KOENNEN,AUCH WIND STARK STROEMEN REGION STURM ORKAN KUESTE KOENNEN
42,WIND MAESSIG WEHEN WEST HEUTE NACHT VIER GRAD loc-REGION STARK STURM MOEGLICH MAXIMAL VORSICHT,WIND MAESSIG WEHEN WEST REGION HEUTE NACHT FUENF GRAD REGION HAUPTSAECHLICH FROST MOEGLICH GLATT VORSICHT
43,REGION SUEDOSTRAUM TAG SONNE SONST REGION BISSCHEN SCHNEE REGEN MIT FROST,IX OST UND SUEDOST TAG SONNE SONST REGION BISSCHEN SCHNEE SCHNEIEN ODER REGEN MIT FROST
44,WOLKE cl-KOMMEN NACHT IX NORD cl-KOMMEN,WOLKE REGION SCHAFFEN NUR NORDWEST KOMMEN
45,MITTE REGION BESONDERS SUED MEHR KUEHL,BESONDERS MITTE REGION SUED DANN KALT
46,MITTWOCH GLEICH DONNERSTAG DEUTSCH WECHSELHAFT STARK REGEN FRISCH,MITTWOCH NAECHSTE DASSELBE DONNERSTAG DEUTSCH LAND WECHSELHAFT UEBERWIEGEND REGEN MOEGLICH STARK WIND
47,MONTAG loc-NORD KUESTE SCHOEN ABEND MACHEN GUT poss-EUCH,DANN MONTAG IX NORD SCHON UMWANDELN SCHOEN ABEND EUCH MACHEN GUT EUCH
48,MEHR WECHSELHAFT FREUNDLICH IM-VERLAUF WEST SCHNEE SCHNEIEN SCHAUER,SONNTAG WAHRSCHEINLICH FREUNDLICH IM-VERLAUF WEST SCHNEE SCHNEIEN REGEN
49,HOCH KOMMEN MORGEN WOCHENENDE DEUTSCH LAND,HOCH OST KOMMEN MORGEN SOLL EINFLUSS DEUTSCH LAND
50,NORDWESTRAUM VIEL WOLKE NEBEL BLEIBEN TROCKEN IX SONNE MOEGLICH,TAG VIEL WOLKE NEBEL BLEIBEN TROCKEN IX SONNE MOEGLICH
51,OST HEUTE NACHT KLAR HIMMEL STERN KOENNEN SEHEN loc-SUEDOST BISSCHEN NEBEL REGEN,NORD HEUTE NACHT KLAR HIMMEL STERN KOENNEN SEHEN SUEDWEST REGEN KOENNEN NEBEL BEREICH
52,NACHT loc-SUEDOST UND cl-KOMMEN,DEUTSCH LAND SUED AUCH BRINGEN ZIEHEN REGEN
53,AB DIENSTAG KUEHL __EMOTION__ MEHR FREUNDLICH HEUTE NACHT WEST cl-KOMMEN,AB DIENSTAG LUFT HOCH HOEHER TEMPERATUR HOEHER MEHR FREUNDLICH HEUTE NACHT WEST KOMMEN
54,DABEI NORD loc-NORD MEHR TROCKEN ABER TAGSUEBER BISSCHEN MEHR KUEHL,DABEI NORD MEHR MILD ABER TAGSUEBER IX MEHR KUEHL
55,MORGEN cl-KOMMEN DARUM DEUTSCH WETTER WARNUNG TROCKEN,MORGEN TAG KOMMEN DARUM WARNUNG DEUTSCH WETTER DIENST WARNUNG INFORMIEREN
56,MORGEN WETTER WIE-AUSSEHEN MITTWOCH JULI,MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZWEITE JUNI
57,MORGEN SONNE WECHSELHAFT TEILWEISE AUCH LANG SONNE __PU__,TAG SONNE WOLKE WECHSELHAFT TEILWEISE AUCH LANG SONNE
58,SONNE WOLKE WECHSELHAFT KUESTE SONNE MITTE IX REGEN BESONDERS SUEDWESTRAUM ABEND GEWITTER DABEI,MORGEN SONNE WOLKE WECHSELHAFT NORD REGION SONNE OFT IX SCHAUER SUEDWEST ABEND GEWITTER KOENNEN
59,JETZT WETTER MORGEN FREITAG DREI ZWANZIG JULI,JETZT WETTER MORGEN FREITAG DREI ZWANZIG JULI
60,MORGEN EUROPA TIEF DRUCK KOMMEN,MORGEN DEUTSCH LAND IX TIEF KOMMEN KUEHL KOMMEN
61,NORDWESTRAUM TIEF cl-KOMMEN FEUCHT WOLKE cl-KOMMEN,IX NORD TIEF KOMMEN WOLKE KOMMEN
62,NACHT KLAR REGION DANN cl-KOMMEN,NACHT KLAR HIMMEL DANN WOLKE KOMMEN
63,MORGEN NORD loc-REGION REGEN loc-REGION TROCKEN DANN IM-VERLAUF loc-REGION REGEN,MONTAG NORD REGION REGEN REGION BESSER IM-VERLAUF REGION REGEN
64,MORGEN MEHR MILD loc-SUED BLEIBEN IX FUENF ZWANZIG GRAD,MORGEN NORD MEHR MILD WEST SUEDOST BLEIBEN UNTER VIER NULL GRAD
65,HEUTE NACHT EINS ZWANZIG BIS ZWANZIG GRAD MINUS BERG MOEGLICH BLEIBEN FROST MORGEN ZEHN GRAD SIEBZEHN HOCH,HEUTE NACHT ELF BIS DREI GRAD MITTE BERG MOEGLICH BODEN FROST MORGEN ZEHN GRAD IX SIEBZEHN GRAD OBER FLUSS
66,MITTWOCH WEST WOLKE SIEBZEHN NEBEL KALT,MITTWOCH WEST WOLKE ACHT BIS SECHSZEHN NEBEL KUEHL
67,SONST NORDRAUM FLUSS SACHSEN MITTE SONNE,SPEZIELL VOR MITTAG WEST FLUSS WEST SACHSEN MITTE ZWISCHEN SONNE
68,TEIL NEBEL __EMOTION__ REGION SONNE BLEIBEN,MISCHUNG NEBEL HOCH NEBEL SONNE BLEIBEN
69,DONNERSTAG HOCH SONNE DRUCK EUROPA LUFT MEER KOMMEN loc-SUEDWEST DRUCK HOCH KOMMEN,MONTAG MEISTENS TIEF DRUCK REGION LUFT MEER LUFT KOMMEN ABER SUEDWEST TATSAECHLICH HOCH DRUCK REGION
70,FREITAG BISSCHEN MEHR REGEN SCHNEE REGEN AUCH GEWITTER,FREITAG KOENNEN SCHAUEN BISSCHEN MEHR REGEN WIEDER HABEN
71,SONNTAG NOCH,SONNTAG AUCH WIE-IMMER WIE-IMMER
72,HEUTE NACHT loc-NORD ZWOELF BERG IX VIER GRAD MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD,HEUTE NACHT NORD ZWOELF LAND IX VIER GRAD MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD
73,FREITAG MEHR WOLKE SONNE NORDOSTRAUM SCHNEE SCHNEIEN,FREITAG MEHR WOLKE NICHT-SONNE NORDOST SCHNEE SCHNEIEN
74,TAG DANN loc-REGION REGEN SCHAUER loc-SUED BISSCHEN FREUNDLICH,TAG DANN NORD REGION REGEN SUEDOST DOCH BISSCHEN FREUNDLICH
75,TAG SUED MEHR REGEN,TAG SUED FREUNDLICH UNTEN KOMMEN MEHR REGEN TROPFEN
76,MILD MAESSIG STERN IX KOENNEN __PU__ ABEND,MILD STERN KLAR SEHEN KOENNEN SOMMER NACHT TYPISCH
77,LIEB ZUSCHAUER ABEND,LIEB ZUSCHAUER GUT ABEND
78,HEUTE NACHT DREIZEHN BIS DREI GRAD ALPEN BERG GRAD MORGEN ZEHN BIS FLUSS,HEUTE NACHT DREIZEHN BIS DREI GRAD ALPEN WAHRSCHEINLICH ZWISCHEN NULL MORGEN ZEHN E IX FLUSS FUENFZEHN
79,WECHSELHAFT SUED BESSER HEUTE NACHT NORDRAUM MITTE SCHAUER REGEN BERG IX REGEN,UNGEMUETLICH SUED BESSER ALS NORD HEUTE NACHT NORD MITTE
80,SONNTAG loc-REGION AUCH REGEN KOENNEN,SONNTAG SCHEINEN ALPEN AUCH SCHAUER MOEGLICH
81,MORGEN MILD MITTE BERG OST ABER NEBEL TROCKEN,MORGEN FRUEH VERSCHWINDEN LANGSAM SCHNELL NORDOST BISSCHEN WOLKE BLEIBEN TROCKEN
82,SUEDWESTRAUM REGION SUED MEHR REGEN IX REGION LANG FREUNDLICH,SUEDWEST EUROPA SUED BEKOMMEN REGEN REGION LANG FREUNDLICH
83,MORGEN WETTER ABER TROCKEN NORDWESTRAUM MEHR WOLKE,MORGEN FEIER UND UNTERSCHIED DANN TRENNEN ICH NORDWEST MEHR WOLKE
84,REGEN GEWITTER SCHNEE REGEN NICHT-HABEN SCHOEN ABEND MACHEN TSCHUESS,REGEN GEWITTER VIEL REGEN NICHT-HABEN SCHOEN ABEND TSCHUESS MACHEN TSCHUESS
85,TEILWEISE SONNE SUED loc-REGION TEIL WOLKE KUEHL ALPEN KOENNEN SCHNEE IM-VERLAUF WENIGER,TEIL SONNE SUED REGION MEHR WOLKE FLUSS ALPEN MOEGLICH SCHNEE ABER IM-VERLAUF WENIGER
86,JETZT MORGEN WETTER WIE-AUSSEHEN DIENSTAG MAERZ,JETZT MORGEN WETTER WIE-AUSSEHEN DIENSTAG DREISSIG MAERZ
87,SAMSTAG loc-NORD REGEN loc-REGION MEISTENS SONNE __PU__,SAMSTAG NORD AUCH REGEN REGION MEHR SONNE
88,HEUTE NACHT MILD IX REGEN STARK REGION,HEUTE-NACHT TROCKEN IX REGEN MEISTENS REGION
89,JETZT WETTER WIE-AUSSEHEN MORGEN,JETZT WETTER WIE-AUSSEHEN MORGEN
90,MORGEN DREI GRAD BAYERN NORD IX __LEFTHAND__ KOMMEN,MORGEN DREI GRAD REGION BAYERN WALD IX ZWOELF KOELN
91,MITTE WOLKE FREUNDLICH IN-KOMMEND TAG SONNE AUCH HEUTE ABEND BISSCHEN NEU REGEN,DANACH HOCH DRUCK KOMMEN FREUNDLICH GUT IN-KOMMEND TAG SONNE AB HEUTE ABEND BISSCHEN LEICHT REGEN
92,WETTER MORGEN SAMSTAG NEUNTE KOENNEN SEHEN ZEIGEN,JETZT WETTER MORGEN SAMSTAG ZEHNTE APRIL WIE-AUSSEHEN ZEIGEN-BILDSCHIRM
93,GUT ABEND BEGRUESSEN,TROCKEN ENORM ABEND WUENSCHEN
94,WEITER SUEDRAUM BERG BISSCHEN WOLKE STARK SUED SACHSEN IX AUCH WOLKE VIEL SONNE,VIELLEICHT THUERINGEN REGION AUCH BISSCHEN WOLKE BISSCHEN STARK WOLKE ABER SUED MAINZ FLUSS SUEDWEST VIEL NICHT-KEIN WOLKE VIEL SONNE
95,NORD TEIL REGEN WEST BLEIBEN VERSCHWINDEN WIND KUESTE AUCH,NORD TEILWEISE REGEN WEST LANGSAM VERSCHWINDEN WIND KUESTE AUCH
96,SONNTAG MEISTENS SONNE REGEN SCHAUER MONTAG WENIG MEHR WARM,SONNTAG UEBERWIEGEND SONNE NORD SCHAUER MONTAG AEHNLICH WETTER ABER BISSCHEN MEHR WARM
97,loc-REGION SONNE SCHAUER GEWITTER SUEDOSTRAUM IX TEILWEISE HAGEL GRAUPEL STARK REGEN WIND,REGION SONNE SCHAUER GEWITTER SUED IX ENORM HAGEL STARK REGEN STURM
98,NORDWESTRAUM SCHNEE KOENNEN,NORDWEST SCHNEE BISSCHEN KOENNEN
99,KUEHL SIEBEN SAMSTAG SECHSZEHN loc-NORD MORGEN EINS ZWANZIG,KUEHL SIEBEN GRAD ALLGAEU IX SECHSZEHN NORD MORGEN IX EINS ZWANZIG
100,IX HEUTE NACHT KOENNEN WOLKE HIMMEL REGION KLAR STERN KOENNEN SEHEN,IX HEUTE NACHT STARK WOLKE HIMMEL SONST REGION KLAR STERN KOENNEN SEHEN
101,loc-SUEDOST SCHNEE REGION FREUNDLICH MINUS ACHT BIS PLUS DREI WEHEN,SUEDOST SCHNEE REGION TROCKEN MINUS ACHT BIS PLUS EINS ZWISCHEN
102,NACHT __LEFTHAND__ cl-KOMMEN REGEN MEISTENS OST SUEDOSTRAUM KLAR IX STERN KOENNEN,NACHT KOMMEN REGEN STARK OST SUEDOST KLAR SEHEN STERN KOENNEN
103,TAG MINUS SIEBEN loc-NORD SONNE,TAG MINUS SIEBEN NORD NULL
104,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHSTE JUNI,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHSTE JUNI
105,loc-NORD ZEHN GRAD FLUSS BERG WARM ZWANZIG BIS FUENF ZWANZIG GRAD,TEIL WENN NORD ZEHN GRAD EUROPA VERBREITEN WARM ZWANZIG BIS FUENF ZWANZIG GRAD
106,BISSCHEN DABEI AUCH REGEN SUEDWESTRAUM AUCH BISSCHEN HIMMEL AUCH,BISSCHEN DABEI AUCH REGEN SUED NOCH BISSCHEN NOCH WETTER GUT WETTER
107,REGION VIEL MEHR WOLKE AUCH REGEN SCHAUER,NORDOST IX NICHT-VIEL NICHT-VIEL NICHT-WOLKE NICHT-VIEL NICHT-WOLKE ABER SCHAUER
108,TIEF SKANDINAVIEN EUROPA DESWEGEN WESTRAUM MITTWOCH REGEN loc-SUEDOST GEWITTER,TIEF NORD EUROPA DIESE NORDWEST MORGEN SCHAUER SUEDOST GEWITTER
109,SCHOEN ABEND poss-EUCH,SCHOEN ABEND WUENSCHEN
110,KUEHL WEHEN TEMPERATUR SAMSTAG IN-KOMMEND DASSELBE __PU__,KUEHL KOMMEN TEMPERATUR SAMSTAG SONNTAG IX GLEICH
111,NORDWESTRAUM FRISCH MAESSIG WEHEN NORD STARK SCHNEE HEUTE NACHT,NORD NORDOST FRISCH MAESSIG WEHEN OST STARK WEHEN HEUTE NACHT WERT
112,ABEND LIEB ZUSCHAUER poss-EUCH,GUT ABEND LIEB DU ZUSCHAUER EUCH
113,SCHOEN ABEND WUENSCHEN,SCHOEN ABEND WUENSCHEN
114,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG SECHSTE AUGUST,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG SIEBTE AUGUST
115,HEUTE DEUTSCHLAND WEST loc-REGION TIEF KOMMEN KUEHL REGEN IX,GROSSBRITANNIEN REGION FRANKREICH MITTE EUROPA REGION TIEF KOMMEN SCHNEIEN SCHNEE WENIG NUR IX MEHR WICHTIG
116,NORD MORGEN SIEBEN FLUSS IX BIS FUENFZEHN,NORD MORGEN SIEBEN REGION FLUSS BIS FUENFZEHN
117,IN-KOMMEND WETTER WECHSELHAFT DIENSTAG NORDRAUM STURM KOENNEN,IN-KOMMEND WETTER WECHSELHAFT DIENSTAG MITTWOCH NORD WEHEN KOENNEN
118,DANN VIERZEHN NORDOSTRAUM MORGEN BAYERN IX EINS FLUSS MAXIMAL DREISSIG GRAD,FUENFZEHN NORDWEST MORGEN DAENEMARK IX ZWANZIG MAXIMAL DREISSIG GRAD
119,MORGEN MITTAG SCHNEE REGEN SUEDRAUM WOLKE HIMMEL,MORGEN NORD WEST REGEN REGION NEBEL WOLKE HIMMEL
120,HEUTE NACHT WOLKE BLEIBEN KLAR STERN KOENNEN SEHEN,NACHT WOLKE KOMMEN BLEIBEN KLAR HIMMEL STERN SEHEN
121,HEUTE NACHT NORD TEIL WIND BERG IX,HEUTE NACHT NORD TEIL STURM BERG ORKAN
122,AUCH loc-NORD BISSCHEN REGEN SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,AUCH NORD BISSCHEN REGEN SCHOEN ABEND WUENSCHEN MACHEN GUT WUENSCHEN
123,KOMMEN __LEFTHAND__ DANN REGEN GLATT KOENNEN,KOMMEN IX KALT KOMMEN IX SCHNEE GLATT KOENNEN
124,MORGEN IX HOCH cl-KOMMEN REGION FREUNDLICH ABER,MORGEN A HOCH KOMMEN REGION FREUNDLICH ABER
125,TAG BLEIBEN SIEBEN GRAD BAYERN IX REGION IX AUCH,UND TAG BLEIBEN KUEHL SECHS GRAD BAYERN IX REGION AUCH S+H IX AUCH ABER
126,loc-SUEDWEST AUCH TROCKEN AUCH HAUPTSAECHLICH WOLKE REGEN-PLUSPLUS,SUEDWEST SAARLAND MILD ABER UEBERWIEGEND BEWOELKT REGEN
127,ZWANZIG BIS UEBER GRAD IN-KOMMEND,ZWANZIG BIS UEBER ZWANZIG GRAD IN-KOMMEND IN-KOMMEND AEHNLICH
128,IX MORGEN SIEBZEHN GRAD FLUSS SIEBEN ZWANZIG GRAD,IX MORGEN NEUNZEHN GRAD REGION SIEBEN ZWANZIG GRAD
129,WETTER MORGEN __PU__ REGEN loc-REGION DANN REGEN-PLUSPLUS MITTAG,WETTER KOENNEN SAGEN REGEN REGION DANN SCHAUER VOR MITTAG
130,ABER FLUSS BESSER WOLKE WIND SCHWACH,AUCH OBER FLUSS BIS ABEND MEHR WOLKE WIND SCHWACH
131,MORGEN SONNE,MORGEN SONNE IX KOMMEN
132,MITTWOCH KOENNEN NORDWESTRAUM VIELLEICHT loc-NORD STARK WIND,MITTWOCH REGEN KOENNEN NORDWEST WAHRSCHEINLICH NORD STARK WIND
133,AUCH STARK REGEN BESONDERS WEST AUCH KUESTE IX SUED GLATT MAESSIG,STUNDE AUCH MEISTENS REGEN ERST WEST DANN REGION SUED BLEIBEN TROCKEN
134,NAECHSTE WOCHE WECHSELHAFT VIEL WOLKE TEIL REGEN KOENNEN WIND,NAECHSTE WOCHE WECHSELHAFT WOLKE TEIL REGEN AUCH WIND
135,NACHT BISSCHEN IX NORD SCHNEE loc-REGION TEIL KLAR NORDRAUM STARK REGEN,NACHT IX BISSCHEN REGEN HOCH SCHNEE REGION TEIL KLAR NORD GEBEN SCHAUER
136,HAUPTSAECHLICH NORDRAUM loc-REGION REGEN loc-SUEDOST DESWEGEN REGEN,HAUPTSAECHLICH NORD TROCKEN REGION SCHNEE SUEDWEST DIESE REGEN DABEI
137,SONST WOLKE NEBEL SONST REGION KLAR TROCKEN,SONST REGION MEISTENS WOLKE NEBEL SONST REGION KLAR TROCKEN
138,HEUTE NACHT NORD KLAR STERN KOENNEN SEHEN loc-REGION SUED REGEN-PLUSPLUS KOENNEN,HEUTE NACHT NORD MITTE KLAR STERN KOENNEN SEHEN REGION NEBEL SUED REGEN KOENNEN
139,GRUND MITTE REGION BLEIBEN BESSER MORGEN REGEN MOEGLICH,DANACH MITTE EUROPA AUCH WOLKE TIEF WOLKE KOMMEN REGEN REGION MOEGLICH
140,MEHR HOCH KALT NORD NACHT SIEBZEHN GRAD KOMMEN,OST WARM REGION BIS DREISSIG GRAD REGION UEBERSPRINGEN REGION KUEHL NUR FUENFZEHN SECHSZEHN GRAD
141,ABER REGEN NORD BIS REGEN,ABER REGEN NORD IX BIS E+R+Z BERG REGION REGEN
142,REGION MITTE HEUTE NACHT ANFANG REGEN cl-KOMMEN loc-SUEDOST REGEN DAZU KOENNEN GEWITTER,WOLKE DABEI HEUTE NACHT KOENNEN REGEN KOMMEN SUEDOST REGEN DAZU KOENNEN GEWITTER
143,GEWITTER HOCH NORD KOMMEN NORD EUROPA loc-REGION LUFT KOMMEN LUFT WEST,SO GEWITTER VON HOCH IX REGION NORD EUROPA REGION WARM LUFT KOMMEN KUEHL LUFT WEST KOMMEN
144,HEUTE NACHT FLUSS SIEBEN SONST REGION SECHS ZWISCHEN,HEUTE NACHT SIEBEN SONST REGION SECHS ZWISCHEN EIN
145,SAMSTAG AUCH DANN WOLKE SCHAUER GEWITTER,SAMSTAG AUCH DANN SONNTAG WEST BISSCHEN SCHAUER GEWITTER
146,HEUTE NACHT TEMPERATUR MINUS DREI MINUS SIEBZEHN WENN KLAR __PU__,HEUTE NACHT TEMPERATUR MINUS DREI MINUS SIEBZEHN WENN KLAR TIEF
147,REGION HEUTE NACHT NORDWESTRAUM WOLKE BISSCHEN REGEN cl-KOMMEN,WOLKE HEUTE NACHT NORDWEST WOLKE BISSCHEN REGEN
148,WIND SCHWACH MAESSIG IX WEHEN IX NORDRAUM STARK WIND,MANCHMAL SCHWACH MAESSIG IX WIND IX X WEST STARK WIND
149,SKANDINAVIEN HOCH KOMMEN KALT KOMMEN FRANKREICH TIEF KOMMEN WOLKE KOMMEN KOENNEN SCHNEE,SKANDINAVIEN HOCH KOMMEN KALT KOMMEN FRANKREICH KOMMEN TIEF KOMMEN WOLKE KOMMEN KOENNEN SCHNEE REGEN
150,NORD REGEN cl-KOMMEN REGEN,NUR NORD WEHEN
151,NORDRAUM KALT cl-KOMMEN __EMOTION__ OST,NORD KALT KOMMEN ZONE DAZWISCHEN
152,GEWITTER DONNER MORGEN loc-REGION REGEN DABEI DANN AUFLOESEN BISSCHEN SONNE DABEI,DABEI BLITZ DONNER MORGEN REGION REGEN DABEI NORD DANN AUFLOESEN DANN SONNE DABEI
