,pred,gt
94,IX THUERINGEN REGION AUCH BISSCHEN WOLKE BISSCHEN STARK WOLKE ABER SUED MAINZ FLUSS SUEDWEST VIEL NICHT-KEIN WOLKE VIEL SONNE,VIELLEICHT THUERINGEN REGION AUCH BISSCHEN WOLKE BISSCHEN STARK WOLKE ABER SUED MAINZ FLUSS SUEDWEST VIEL NICHT-KEIN WOLKE VIEL SONNE
95,NORD TEILWEISE REGEN WEST LANGSAM VERSCHWINDEN WIND KUESTE AUCH,NORD TEILWEISE REGEN WEST LANGSAM VERSCHWINDEN WIND KUESTE AUCH
96,SONNTAG __EMOTION__ SONNE NORD SCHAUER MONTAG AEHNLICH WETTER ABER BISSCHEN MEHR WARM,SONNTAG UEBERWIEGEND SONNE NORD SCHAUER MONTAG AEHNLICH WETTER ABER BISSCHEN MEHR WARM
97,SONNTAG SONNE SCHAUER GEWITTER SUED IX ENORM HAGEL STARK REGEN STURM,REGION SONNE SCHAUER GEWITTER SUED IX ENORM HAGEL STARK REGEN STURM
98,SAMSTAG SCHNEE BISSCHEN KOENNEN,NORDWEST SCHNEE BISSCHEN KOENNEN
99,KUEHL SIEBEN GRAD ALLGAEU IX SECHSZEHN NORD MORGEN IX EINS ZWANZIG,KUEHL SIEBEN GRAD ALLGAEU IX SECHSZEHN NORD MORGEN IX EINS ZWANZIG
100,IX HEUTE NACHT STARK WOLKE HIMMEL SONST REGION KLAR STERN KOENNEN SEHEN,IX HEUTE NACHT STARK WOLKE HIMMEL SONST REGION KLAR STERN KOENNEN SEHEN
101,MORGEN SCHNEE REGION TROCKEN MINUS ACHT BIS PLUS EINS ZWISCHEN,SUEDOST SCHNEE REGION TROCKEN MINUS ACHT BIS PLUS EINS ZWISCHEN
102,NACHT MEHR REGEN STARK OST IX KLAR SEHEN STERN KOENNEN,NACHT KOMMEN REGEN STARK OST SUEDOST KLAR SEHEN STERN KOENNEN
103,TAG MINUS SIEBEN NORD NULL,TAG MINUS SIEBEN NORD NULL
104,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHSTE JUNI,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHSTE JUNI
105,HEUTE WENN NORD ZEHN GRAD EUROPA VERBREITEN WARM ZWANZIG BIS FUENF ZWANZIG GRAD,TEIL WENN NORD ZEHN GRAD EUROPA VERBREITEN WARM ZWANZIG BIS FUENF ZWANZIG GRAD
106,DONNERSTAG DABEI AUCH REGEN SUED NOCH BISSCHEN NOCH WETTER GUT WETTER,BISSCHEN DABEI AUCH REGEN SUED NOCH BISSCHEN NOCH WETTER GUT WETTER
107,SONNTAG BISSCHEN NICHT-VIEL NICHT-VIEL NICHT-WOLKE NICHT-VIEL NICHT-WOLKE ABER SCHAUER SCHAUER,NORDOST IX NICHT-VIEL NICHT-VIEL NICHT-WOLKE NICHT-VIEL NICHT-WOLKE ABER SCHAUER
108,DIENSTAG SKANDINAVIEN EUROPA DIESE NORDWEST MORGEN VIEL SUEDOST GEWITTER,TIEF NORD EUROPA DIESE NORDWEST MORGEN SCHAUER SUEDOST GEWITTER
109,SCHOEN ABEND GUT,SCHOEN ABEND WUENSCHEN
110,IN-KOMMEND MITTE TEMPERATUR SAMSTAG SONNTAG IX GLEICH,KUEHL KOMMEN TEMPERATUR SAMSTAG SONNTAG IX GLEICH
111,NORD NORDWESTRAUM FRISCH MAESSIG WEHEN OST STARK WEHEN HEUTE NACHT WERT,NORD NORDOST FRISCH MAESSIG WEHEN OST STARK WEHEN HEUTE NACHT WERT
112,ABEND ABEND LIEB ZUSCHAUER ZUSCHAUER poss-EUCH,GUT ABEND LIEB DU ZUSCHAUER EUCH
113,SCHOEN ABEND WUENSCHEN,SCHOEN ABEND WUENSCHEN
114,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG SECHSTE AUGUST,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG SIEBTE AUGUST
115,LUFT IX FRANKREICH MITTE EUROPA REGION TIEF KOMMEN SCHNEIEN SCHNEE WENIG NUR IX MEHR WICHTIG,GROSSBRITANNIEN REGION FRANKREICH MITTE EUROPA REGION TIEF KOMMEN SCHNEIEN SCHNEE WENIG NUR IX MEHR WICHTIG
116,NORD MORGEN SIEBEN REGION FLUSS BIS FUENFZEHN,NORD MORGEN SIEBEN REGION FLUSS BIS FUENFZEHN
117,AB WETTER WECHSELHAFT DIENSTAG MITTWOCH NORD WEHEN KOENNEN,IN-KOMMEND WETTER WECHSELHAFT DIENSTAG MITTWOCH NORD WEHEN KOENNEN
118,FLUSS NORDWEST MORGEN DAENEMARK IX ZWANZIG MAXIMAL DREISSIG GRAD,FUENFZEHN NORDWEST MORGEN DAENEMARK IX ZWANZIG MAXIMAL DREISSIG GRAD
119,MORGEN SUEDRAUM WEST REGEN REGION NEBEL WOLKE HIMMEL,MORGEN NORD WEST REGEN REGION NEBEL WOLKE HIMMEL
120,HEUTE WOLKE KOMMEN BLEIBEN KLAR HIMMEL STERN SEHEN,NACHT WOLKE KOMMEN BLEIBEN KLAR HIMMEL STERN SEHEN
121,HEUTE NACHT NORD TEIL STURM BERG ORKAN,HEUTE NACHT NORD TEIL STURM BERG ORKAN
122,DONNERSTAG NORD BISSCHEN REGEN SCHOEN ABEND WUENSCHEN MACHEN GUT WUENSCHEN,AUCH NORD BISSCHEN REGEN SCHOEN ABEND WUENSCHEN MACHEN GUT WUENSCHEN
123,DANN IX KALT KOMMEN IX SCHNEE GLATT KOENNEN,KOMMEN IX KALT KOMMEN IX SCHNEE GLATT KOENNEN
124,MORGEN A HOCH KOMMEN REGION FREUNDLICH ABER,MORGEN A HOCH KOMMEN REGION FREUNDLICH ABER
125,UND TAG BLEIBEN KUEHL SECHS GRAD BAYERN IX REGION AUCH S+H IX AUCH ABER,UND TAG BLEIBEN KUEHL SECHS GRAD BAYERN IX REGION AUCH S+H IX AUCH ABER
126,AUCH AUCH MILD ABER UEBERWIEGEND BEWOELKT REGEN,SUEDWEST SAARLAND MILD ABER UEBERWIEGEND BEWOELKT REGEN
127,ZWANZIG BIS UEBER ZWANZIG GRAD IN-KOMMEND IN-KOMMEND AEHNLICH,ZWANZIG BIS UEBER ZWANZIG GRAD IN-KOMMEND IN-KOMMEND AEHNLICH
128,IX MORGEN ZWANZIG GRAD REGION SIEBEN ZWANZIG GRAD,IX MORGEN NEUNZEHN GRAD REGION SIEBEN ZWANZIG GRAD
129,MORGEN AUCH SAGEN REGEN REGION DANN SCHAUER VOR MITTAG,WETTER KOENNEN SAGEN REGEN REGION DANN SCHAUER VOR MITTAG
130,AUCH OBER FLUSS BIS ABEND MEHR WOLKE WIND SCHWACH,AUCH OBER FLUSS BIS ABEND MEHR WOLKE WIND SCHWACH
131,MORGEN SONNE IX KOMMEN,MORGEN SONNE IX KOMMEN
132,MITTWOCH WIND KOENNEN NORDWEST WAHRSCHEINLICH NORD KLAR WIND,MITTWOCH REGEN KOENNEN NORDWEST WAHRSCHEINLICH NORD STARK WIND
133,IN-KOMMEND AUCH MEISTENS REGEN ERST WEST DANN REGION SUED BLEIBEN TROCKEN,STUNDE AUCH MEISTENS REGEN ERST WEST DANN REGION SUED BLEIBEN TROCKEN
134,NAECHSTE WOCHE WECHSELHAFT WOLKE TEIL REGEN AUCH WIND,NAECHSTE WOCHE WECHSELHAFT WOLKE TEIL REGEN AUCH WIND
135,NACHT IX BISSCHEN REGEN HOCH SCHNEE REGION TEIL KLAR NORD GEBEN SCHAUER,NACHT IX BISSCHEN REGEN HOCH SCHNEE REGION TEIL KLAR NORD GEBEN SCHAUER
136,HEUTE REGEN TROCKEN REGION SCHNEE SUEDWEST DIESE REGEN DABEI,HAUPTSAECHLICH NORD TROCKEN REGION SCHNEE SUEDWEST DIESE REGEN DABEI
137,SONST REGION MEISTENS WOLKE NEBEL SONST REGION KLAR TROCKEN,SONST REGION MEISTENS WOLKE NEBEL SONST REGION KLAR TROCKEN
138,HEUTE NACHT NORD KLAR KLAR STERN KOENNEN SEHEN REGION NEBEL SUED REGEN KOENNEN,HEUTE NACHT NORD MITTE KLAR STERN KOENNEN SEHEN REGION NEBEL SUED REGEN KOENNEN
139,MORGEN MITTE EUROPA AUCH WOLKE TIEF WOLKE KOMMEN REGEN REGION MOEGLICH,DANACH MITTE EUROPA AUCH WOLKE TIEF WOLKE KOMMEN REGEN REGION MOEGLICH
140,ABER loc-SUEDWEST REGION BIS DREISSIG GRAD REGION UEBERSPRINGEN REGION KUEHL NUR FUENFZEHN SECHSZEHN GRAD,OST WARM REGION BIS DREISSIG GRAD REGION UEBERSPRINGEN REGION KUEHL NUR FUENFZEHN SECHSZEHN GRAD
141,ABER REGEN NORD IX BIS E+R+Z BERG REGION REGEN,ABER REGEN NORD IX BIS E+R+Z BERG REGION REGEN
142,HEUTE DABEI HEUTE NACHT KOENNEN REGEN KOMMEN SUEDOST REGEN DAZU KOENNEN GEWITTER,WOLKE DABEI HEUTE NACHT KOENNEN REGEN KOMMEN SUEDOST REGEN DAZU KOENNEN GEWITTER
143,SO GEWITTER VON HOCH IX REGION NORD EUROPA REGION WARM LUFT KOMMEN KUEHL LUFT WEST KOMMEN,SO GEWITTER VON HOCH IX REGION NORD EUROPA REGION WARM LUFT KOMMEN KUEHL LUFT WEST KOMMEN
144,HEUTE NACHT SIEBEN SONST REGION SECHS ZWISCHEN EIN,HEUTE NACHT SIEBEN SONST REGION SECHS ZWISCHEN EIN
